vehicle_id,date,disabled_trip,normal_taxi_trip,disabled_km,normal_km,total_km,disabled_revenue,normal_revenue,subsidy,charge_count,charge_kwh,charge_minutes,charger_type,soc_start,soc_end,work_start,work_end,status,confidence,source_url,note
UD_01,,,,,,,,,,,,,,,,,,정보공개대기,,https://scpm.seoul.go.kr/,운영대수 12대만 공식 확인. 차량-일자 로그는 미공개.
UD_02,,,,,,,,,,,,,,,,,,정보공개대기,,https://scpm.seoul.go.kr/,운영대수 12대만 공식 확인. 차량-일자 로그는 미공개.
UD_03,,,,,,,,,,,,,,,,,,정보공개대기,,https://scpm.seoul.go.kr/,운영대수 12대만 공식 확인. 차량-일자 로그는 미공개.
UD_04,,,,,,,,,,,,,,,,,,정보공개대기,,https://scpm.seoul.go.kr/,운영대수 12대만 공식 확인. 차량-일자 로그는 미공개.
UD_05,,,,,,,,,,,,,,,,,,정보공개대기,,https://scpm.seoul.go.kr/,운영대수 12대만 공식 확인. 차량-일자 로그는 미공개.
UD_06,,,,,,,,,,,,,,,,,,정보공개대기,,https://scpm.seoul.go.kr/,운영대수 12대만 공식 확인. 차량-일자 로그는 미공개.
UD_07,,,,,,,,,,,,,,,,,,정보공개대기,,https://scpm.seoul.go.kr/,운영대수 12대만 공식 확인. 차량-일자 로그는 미공개.
UD_08,,,,,,,,,,,,,,,,,,정보공개대기,,https://scpm.seoul.go.kr/,운영대수 12대만 공식 확인. 차량-일자 로그는 미공개.
UD_09,,,,,,,,,,,,,,,,,,정보공개대기,,https://scpm.seoul.go.kr/,운영대수 12대만 공식 확인. 차량-일자 로그는 미공개.
UD_10,,,,,,,,,,,,,,,,,,정보공개대기,,https://scpm.seoul.go.kr/,운영대수 12대만 공식 확인. 차량-일자 로그는 미공개.
UD_11,,,,,,,,,,,,,,,,,,정보공개대기,,https://scpm.seoul.go.kr/,운영대수 12대만 공식 확인. 차량-일자 로그는 미공개.
UD_12,,,,,,,,,,,,,,,,,,정보공개대기,,https://scpm.seoul.go.kr/,운영대수 12대만 공식 확인. 차량-일자 로그는 미공개.
